playerId,season,name,team,situation,games_played,icetime,gameScore,onIce_xGoalsPercentage,I_F_xGoals,I_F_shotsOnGoal,I_F_shotAttempts,I_F_points,I_F_goals,I_F_highDangerShots,I_F_highDangerGoals
8475738,2018,Jordan Weal,MTL,5on4,63,3946.0,21.42,0.83,0.85,8.0,21.0,6.0,2.0,1.0,1.0
8476869,2018,Brady Skjei,NYR,other,78,3977.0,15.27,0.5,0.61,10.0,18.0,5.0,2.0,0.0,0.0
8476869,2018,Brady Skjei,NYR,all,78,99295.0,19.51,0.44,5.65,126.0,229.0,25.0,8.0,3.0,0.0
8476869,2018,Brady Skjei,NYR,5on5,78,84420.0,19.51,0.46,4.83,110.0,203.0,19.0,6.0,3.0,0.0
8476869,2018,Brady Skjei,NYR,4on5,78,9883.0,20.16,0.2,0.17,4.0,5.0,1.0,0.0,0.0,0.0
8476869,2018,Brady Skjei,NYR,5on4,78,1015.0,8.01,0.91,0.01,1.0,2.0,0.0,0.0,0.0,0.0
8470622,2018,Patrick Eaves,ANA,other,7,96.0,0.07,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8470622,2018,Patrick Eaves,ANA,all,7,5829.0,-1.35,0.38,1.07,6.0,12.0,0.0,0.0,0.0,0.0
8470622,2018,Patrick Eaves,ANA,5on5,7,5094.0,-1.35,0.36,0.97,5.0,11.0,0.0,0.0,0.0,0.0
8470622,2018,Patrick Eaves,ANA,4on5,7,5.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8470622,2018,Patrick Eaves,ANA,5on4,7,634.0,-0.63,0.87,0.1,1.0,1.0,0.0,0.0,0.0,0.0
8479410,2018,Mikhail Sergachev,T.B,other,75,3011.0,33.06,0.43,0.5,5.0,9.0,1.0,1.0,1.0,0.0
8479410,2018,Mikhail Sergachev,T.B,all,75,80642.0,45.0,0.54,6.37,128.0,270.0,32.0,6.0,4.0,1.0
8479410,2018,Mikhail Sergachev,T.B,5on5,75,70480.0,45.0,0.53,4.97,110.0,224.0,26.0,5.0,3.0,1.0
8479410,2018,Mikhail Sergachev,T.B,4on5,75,828.0,15.1,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8479410,2018,Mikhail Sergachev,T.B,5on4,75,6323.0,43.25,0.8,0.85,12.0,36.0,5.0,0.0,0.0,0.0
8474628,2018,Michael Stone,CGY,other,14,112.0,3.63,0.81,0.0,0.0,0.0,1.0,0.0,0.0,0.0
8474628,2018,Michael Stone,CGY,all,14,13386.0,4.6,0.39,0.39,12.0,49.0,5.0,0.0,0.0,0.0
8474628,2018,Michael Stone,CGY,5on5,14,11394.0,4.6,0.43,0.38,12.0,47.0,4.0,0.0,0.0,0.0
8474628,2018,Michael Stone,CGY,4on5,14,1455.0,4.65,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8474628,2018,Michael Stone,CGY,5on4,14,425.0,0.5,0.96,0.01,0.0,2.0,0.0,0.0,0.0,0.0
8475455,2018,Brenden Dillon,S.J,other,82,2935.0,24.1,0.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8475455,2018,Brenden Dillon,S.J,all,82,87231.0,40.18,0.55,2.36,71.0,181.0,22.0,1.0,1.0,0.0
8475455,2018,Brenden Dillon,S.J,5on5,82,78817.0,40.18,0.58,2.34,70.0,180.0,21.0,0.0,1.0,0.0
8475455,2018,Brenden Dillon,S.J,4on5,82,5262.0,30.47,0.24,0.01,1.0,1.0,1.0,1.0,0.0,0.0
8475455,2018,Brenden Dillon,S.J,5on4,82,217.0,10.85,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8474230,2018,Micheal Haley,S.J,other,43,160.0,2.64,0.97,0.9,1.0,1.0,3.0,1.0,1.0,1.0
8474230,2018,Micheal Haley,S.J,all,43,20875.0,5.61,0.55,5.05,34.0,71.0,6.0,2.0,8.0,2.0
8474230,2018,Micheal Haley,S.J,5on5,43,20615.0,5.61,0.51,3.88,31.0,68.0,3.0,1.0,6.0,1.0
8474230,2018,Micheal Haley,S.J,4on5,43,31.0,-0.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8474230,2018,Micheal Haley,S.J,5on4,43,69.0,0.37,1.0,0.26,2.0,2.0,0.0,0.0,1.0,0.0
8478425,2018,Brendan Guhle,ANA,other,8,186.0,1.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8478425,2018,Brendan Guhle,ANA,all,8,7161.0,2.02,0.48,0.85,15.0,29.0,1.0,0.0,1.0,0.0
8478425,2018,Brendan Guhle,ANA,5on5,8,6510.0,2.02,0.49,0.73,15.0,25.0,1.0,0.0,1.0,0.0
8478425,2018,Brendan Guhle,ANA,4on5,8,4.0,0.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8478425,2018,Brendan Guhle,ANA,5on4,8,461.0,2.27,0.81,0.12,0.0,4.0,0.0,0.0,0.0,0.0
8476439,2018,Brett Ritchie,DAL,other,53,475.0,-0.48,0.18,0.07,0.0,1.0,0.0,0.0,0.0,0.0
8476439,2018,Brett Ritchie,DAL,all,53,30549.0,2.07,0.45,4.74,57.0,106.0,6.0,4.0,4.0,1.0
8476439,2018,Brett Ritchie,DAL,5on5,53,27970.0,2.07,0.44,4.5,52.0,97.0,5.0,3.0,4.0,1.0
8476439,2018,Brett Ritchie,DAL,4on5,53,26.0,-0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8476439,2018,Brett Ritchie,DAL,5on4,53,2078.0,1.54,0.65,0.17,5.0,8.0,1.0,1.0,0.0,0.0
