season,teamCode,xBin,yBin,shots,goals,avg_xG,goal_rate
2018,ANA,50,10,18,2,0.08052422777777776,0.1111111111111111
2018,ANA,50,15,8,1,0.031975937499999975,0.125
2018,ANA,50,20,14,0,0.027601679999999965,0.0
2018,ANA,50,25,13,0,0.018551769999999992,0.0
2018,ANA,50,30,6,1,0.01398944,0.16666666666666666
2018,ANA,50,35,2,0,0.007056335,0.0
2018,ANA,55,-40,4,0,0.008979765,0.0
2018,ANA,55,-35,7,0,0.014377187142857129,0.0
2018,ANA,55,-30,15,0,0.020741073999999967,0.0
2018,ANA,55,-25,12,0,0.03235642499999999,0.0
2018,ANA,55,-20,22,1,0.04952476272727273,0.045454545454545456
2018,ANA,55,-15,15,0,0.03693560399999998,0.0
2018,ANA,55,-10,9,1,0.03727704444444444,0.1111111111111111
2018,ANA,55,-5,14,0,0.06614659999999997,0.0
2018,ANA,55,0,9,1,0.13958456444444445,0.1111111111111111
2018,ANA,55,5,6,0,0.0863484,0.0
2018,ANA,55,10,7,0,0.05488585714285713,0.0
2018,ANA,55,15,15,1,0.03992632666666664,0.06666666666666667
2018,ANA,55,20,17,1,0.03138175705882352,0.058823529411764705
2018,ANA,55,25,9,1,0.05777906555555555,0.1111111111111111
2018,ANA,55,30,5,0,0.019278945999999998,0.0
2018,ANA,55,35,5,0,0.08752182199999996,0.0
2018,ANA,60,-40,5,0,0.012467467999999999,0.0
2018,ANA,60,-35,7,0,0.012552369999999998,0.0
2018,ANA,60,-30,22,1,0.03226259227272726,0.045454545454545456
2018,ANA,60,-25,15,0,0.03058068999999998,0.0
2018,ANA,60,-20,21,3,0.06106874714285712,0.14285714285714285
2018,ANA,60,-15,9,1,0.06347399999999999,0.1111111111111111
2018,ANA,60,-10,11,2,0.06297398181818181,0.18181818181818182
2018,ANA,60,-5,12,1,0.0822260833333333,0.08333333333333333
2018,ANA,60,0,16,4,0.11201849374999999,0.25
2018,ANA,60,5,6,1,0.08273471666666665,0.16666666666666666
2018,ANA,60,10,13,0,0.05360858769230768,0.0
2018,ANA,60,15,11,0,0.04234251818181815,0.0
2018,ANA,60,20,13,3,0.08796527692307692,0.23076923076923078
2018,ANA,60,25,11,2,0.055187990909090885,0.18181818181818182
2018,ANA,60,30,5,1,0.015167400000000001,0.2
2018,ANA,60,35,8,0,0.01217676875,0.0
2018,ANA,65,-40,4,0,0.0127848975,0.0
2018,ANA,65,-35,5,0,0.013281079999999978,0.0
2018,ANA,65,-30,9,0,0.013652628888888888,0.0
2018,ANA,65,-25,9,0,0.034485633333333335,0.0
2018,ANA,65,-20,20,1,0.05099452999999997,0.05
2018,ANA,65,-15,17,2,0.059684723529411746,0.11764705882352941
2018,ANA,65,-10,9,3,0.07118888888888888,0.3333333333333333
2018,ANA,65,-5,17,2,0.1110081470588235,0.11764705882352941
2018,ANA,65,0,22,4,0.14561334545454543,0.18181818181818182
2018,ANA,65,5,19,0,0.07096322631578947,0.0
2018,ANA,65,10,13,1,0.05128116384615384,0.07692307692307693
2018,ANA,65,15,12,0,0.037621639999999984,0.0
